
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
1298,,Surface,4,Image 1,1,0,
1481,,Surface,4,Image 1,1,1,
851,,Surface,4,Image 1,1,2,
1383,,Surface,4,Image 1,1,3,
1656,,Surface,4,Image 1,1,4,
1788,,Surface,4,Image 1,1,5,
1270,,Surface,4,Image 1,1,6,
1175,,Surface,4,Image 1,1,7,
1934,,Surface,4,Image 1,1,8,
1361,,Surface,4,Image 1,1,9,
1582,,Surface,4,Image 1,1,10,
1214,,Surface,4,Image 1,1,11,
998,,Surface,4,Image 1,1,12,
1097,,Surface,4,Image 1,1,13,
1122,,Surface,4,Image 1,1,14,
