
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.406989,,Surface,1,0,
0.681038,,Surface,1,1,
0.323793,,Surface,1,2,
0.504441,,Surface,1,3,
0.797307,,Surface,1,4,
0.84391,,Surface,1,5,
0.506422,,Surface,1,6,
0.507951,,Surface,1,7,
0.481729,,Surface,1,8,
0.676232,,Surface,1,9,
0.546061,,Surface,1,10,
0.610461,,Surface,1,11,
0.611112,,Surface,1,12,
0.390675,,Surface,1,13,
0.749637,,Surface,1,14,
0.487105,,Surface,1,15,
0.344622,,Surface,1,16,
0.634567,,Surface,1,17,
0.537204,,Surface,1,18,
0.239004,,Surface,1,19,
0.911858,,Surface,1,20,
0.411825,,Surface,1,21,
0.444182,,Surface,1,22,
0.578118,,Surface,1,23,
0.298907,,Surface,1,24,
