
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
336.682,265.104,26.2922,um,Surface,Position,1,0,
299.896,225.152,15.8233,um,Surface,Position,1,1,
216.872,305.321,21.1642,um,Surface,Position,1,2,
340.64,151.36,16.6794,um,Surface,Position,1,3,
243.469,243.195,19.5277,um,Surface,Position,1,4,
128.534,326.43,15.8396,um,Surface,Position,1,5,
259.46,186.406,17.4797,um,Surface,Position,1,6,
146.253,256.56,24.5614,um,Surface,Position,1,7,
171.416,285.317,22.3517,um,Surface,Position,1,8,
100.593,311.037,22.0252,um,Surface,Position,1,9,
292.017,140.43,14.5194,um,Surface,Position,1,10,
125.385,241.198,13.6003,um,Surface,Position,1,11,
107.795,269.238,16.0358,um,Surface,Position,1,12,
84.7234,256.14,12.1409,um,Surface,Position,1,13,
132.716,165.719,19.302,um,Surface,Position,1,14,
109.873,204.659,15.6171,um,Surface,Position,1,15,
189.801,171.839,15.2178,um,Surface,Position,1,16,
57.8945,209.014,15.8767,um,Surface,Position,1,17,
90.2926,128.912,15.1098,um,Surface,Position,1,18,
198.768,87.7568,15.7932,um,Surface,Position,1,19,
58.3831,108.025,11.728,um,Surface,Position,1,20,
31.9262,164.361,12.9617,um,Surface,Position,1,21,
81.067,62.0067,11.5381,um,Surface,Position,1,22,
7.2694,131.614,21.3873,um,Surface,Position,1,23,
81.0738,46.8981,23.6569,um,Surface,Position,1,24,
