
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.221555,,Surface,1,0,
0.108544,,Surface,1,1,
0.344996,,Surface,1,2,
0.255905,,Surface,1,3,
0.0983882,,Surface,1,4,
0.0763787,,Surface,1,5,
0.242663,,Surface,1,6,
0.27414,,Surface,1,7,
0.284387,,Surface,1,8,
0.135745,,Surface,1,9,
0.119623,,Surface,1,10,
0.201544,,Surface,1,11,
0.190193,,Surface,1,12,
0.113811,,Surface,1,13,
0.10191,,Surface,1,14,
0.116648,,Surface,1,15,
0.102087,,Surface,1,16,
0.221341,,Surface,1,17,
0.157931,,Surface,1,18,
0.186972,,Surface,1,19,
0.0368624,,Surface,1,20,
0.0984404,,Surface,1,21,
0.107037,,Surface,1,22,
0.12542,,Surface,1,23,
0.385965,,Surface,1,24,
