
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.101804,,Surface,1,0,
0.270267,,Surface,1,1,
0.189169,,Surface,1,2,
0.133673,,Surface,1,3,
0.253236,,Surface,1,4,
0.267961,,Surface,1,5,
0.262744,,Surface,1,6,
0.326256,,Surface,1,7,
0.243876,,Surface,1,8,
0.163442,,Surface,1,9,
0.444064,,Surface,1,10,
0.375304,,Surface,1,11,
0.217022,,Surface,1,12,
0.305679,,Surface,1,13,
0.0927103,,Surface,1,14,
0.292113,,Surface,1,15,
0.245699,,Surface,1,16,
0.448255,,Surface,1,17,
0.285958,,Surface,1,18,
0.176748,,Surface,1,19,
