
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
448.106,um,Surface,Distance from Origin,1,0,
466.745,um,Surface,Distance from Origin,1,1,
384.02,um,Surface,Distance from Origin,1,2,
403.959,um,Surface,Distance from Origin,1,3,
335.144,um,Surface,Distance from Origin,1,4,
337.922,um,Surface,Distance from Origin,1,5,
310.862,um,Surface,Distance from Origin,1,6,
286.522,um,Surface,Distance from Origin,1,7,
330.861,um,Surface,Distance from Origin,1,8,
318.838,um,Surface,Distance from Origin,1,9,
290.864,um,Surface,Distance from Origin,1,10,
254.827,um,Surface,Distance from Origin,1,11,
248.103,um,Surface,Distance from Origin,1,12,
239.95,um,Surface,Distance from Origin,1,13,
249.55,um,Surface,Distance from Origin,1,14,
191.21,um,Surface,Distance from Origin,1,15,
160.582,um,Surface,Distance from Origin,1,16,
153.055,um,Surface,Distance from Origin,1,17,
31.5778,um,Surface,Distance from Origin,1,18,
95.4632,um,Surface,Distance from Origin,1,19,
