
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
235,,Surface,3,Image 1,1,0,
220,,Surface,3,Image 1,1,1,
247,,Surface,3,Image 1,1,2,
115,,Surface,3,Image 1,1,3,
166,,Surface,3,Image 1,1,4,
216,,Surface,3,Image 1,1,5,
220,,Surface,3,Image 1,1,6,
168,,Surface,3,Image 1,1,7,
176,,Surface,3,Image 1,1,8,
196,,Surface,3,Image 1,1,9,
180,,Surface,3,Image 1,1,10,
149,,Surface,3,Image 1,1,11,
104,,Surface,3,Image 1,1,12,
261,,Surface,3,Image 1,1,13,
112,,Surface,3,Image 1,1,14,
230,,Surface,3,Image 1,1,15,
215,,Surface,3,Image 1,1,16,
291,,Surface,3,Image 1,1,17,
170,,Surface,3,Image 1,1,18,
203,,Surface,3,Image 1,1,19,
