
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.579229,,Surface,1,0,
0.589952,,Surface,1,1,
0.466414,,Surface,1,2,
0.322327,,Surface,1,3,
0.448032,,Surface,1,4,
0.396174,,Surface,1,5,
0.330764,,Surface,1,6,
0.451553,,Surface,1,7,
0.523794,,Surface,1,8,
0.546324,,Surface,1,9,
0.465874,,Surface,1,10,
0.462657,,Surface,1,11,
0.4031,,Surface,1,12,
0.421753,,Surface,1,13,
0.32315,,Surface,1,14,
0.400451,,Surface,1,15,
0.667929,,Surface,1,16,
0.369469,,Surface,1,17,
0.618729,,Surface,1,18,
0.440368,,Surface,1,19,
