
Intensity Max Ch=7 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
17722,,Surface,7,Image 1,1,0,
16810,,Surface,7,Image 1,1,1,
19037,,Surface,7,Image 1,1,2,
65535,,Surface,7,Image 1,1,3,
64015,,Surface,7,Image 1,1,4,
65535,,Surface,7,Image 1,1,5,
28342,,Surface,7,Image 1,1,6,
25638,,Surface,7,Image 1,1,7,
48802,,Surface,7,Image 1,1,8,
65535,,Surface,7,Image 1,1,9,
32379,,Surface,7,Image 1,1,10,
65116,,Surface,7,Image 1,1,11,
65535,,Surface,7,Image 1,1,12,
14103,,Surface,7,Image 1,1,13,
65535,,Surface,7,Image 1,1,14,
13361,,Surface,7,Image 1,1,15,
17657,,Surface,7,Image 1,1,16,
51013,,Surface,7,Image 1,1,17,
61499,,Surface,7,Image 1,1,18,
65535,,Surface,7,Image 1,1,19,
