
Intensity StdDev Ch=5 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
7788.71,,Surface,5,Image 1,1,0,
5898.35,,Surface,5,Image 1,1,1,
2304.76,,Surface,5,Image 1,1,2,
3341.35,,Surface,5,Image 1,1,3,
2118.8,,Surface,5,Image 1,1,4,
1055.84,,Surface,5,Image 1,1,5,
3343.73,,Surface,5,Image 1,1,6,
7641.85,,Surface,5,Image 1,1,7,
3604.09,,Surface,5,Image 1,1,8,
1053.54,,Surface,5,Image 1,1,9,
2111.32,,Surface,5,Image 1,1,10,
6841.68,,Surface,5,Image 1,1,11,
7525.6,,Surface,5,Image 1,1,12,
3376.74,,Surface,5,Image 1,1,13,
4197.41,,Surface,5,Image 1,1,14,
