
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
25.9781,um,Surface,Image 1,1,0,
39.9789,um,Surface,Image 1,1,1,
55.148,um,Surface,Image 1,1,2,
0,um,Surface,Image 1,1,3,
36.6818,um,Surface,Image 1,1,4,
46.2964,um,Surface,Image 1,1,5,
114.448,um,Surface,Image 1,1,6,
0,um,Surface,Image 1,1,7,
65.3406,um,Surface,Image 1,1,8,
119.891,um,Surface,Image 1,1,9,
43.0629,um,Surface,Image 1,1,10,
41.4383,um,Surface,Image 1,1,11,
122.458,um,Surface,Image 1,1,12,
130.265,um,Surface,Image 1,1,13,
74.6208,um,Surface,Image 1,1,14,
87.5383,um,Surface,Image 1,1,15,
54.7787,um,Surface,Image 1,1,16,
0,um,Surface,Image 1,1,17,
52.2884,um,Surface,Image 1,1,18,
13.6322,um,Surface,Image 1,1,19,
30.7929,um,Surface,Image 1,1,20,
