
Intensity StdDev Ch=1 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
1793.19,,Surface,1,Image 1,1,0,
2168.55,,Surface,1,Image 1,1,1,
1451.95,,Surface,1,Image 1,1,2,
3767.8,,Surface,1,Image 1,1,3,
3688.19,,Surface,1,Image 1,1,4,
2975.33,,Surface,1,Image 1,1,5,
1489.56,,Surface,1,Image 1,1,6,
1731.18,,Surface,1,Image 1,1,7,
3183.45,,Surface,1,Image 1,1,8,
1952.53,,Surface,1,Image 1,1,9,
3320.26,,Surface,1,Image 1,1,10,
2191.5,,Surface,1,Image 1,1,11,
1305.42,,Surface,1,Image 1,1,12,
1805.46,,Surface,1,Image 1,1,13,
1642.82,,Surface,1,Image 1,1,14,
3164.65,,Surface,1,Image 1,1,15,
3409.26,,Surface,1,Image 1,1,16,
3130.68,,Surface,1,Image 1,1,17,
2909.2,,Surface,1,Image 1,1,18,
2245.68,,Surface,1,Image 1,1,19,
4976.71,,Surface,1,Image 1,1,20,
