
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
434.354,um,Surface,Distance from Origin,1,0,
395.569,um,Surface,Distance from Origin,1,1,
369.901,um,Surface,Distance from Origin,1,2,
378.263,um,Surface,Distance from Origin,1,3,
344.884,um,Surface,Distance from Origin,1,4,
355.776,um,Surface,Distance from Origin,1,5,
313.786,um,Surface,Distance from Origin,1,6,
364.891,um,Surface,Distance from Origin,1,7,
298.199,um,Surface,Distance from Origin,1,8,
280.744,um,Surface,Distance from Origin,1,9,
301.929,um,Surface,Distance from Origin,1,10,
293.725,um,Surface,Distance from Origin,1,11,
241.27,um,Surface,Distance from Origin,1,12,
234.366,um,Surface,Distance from Origin,1,13,
214.474,um,Surface,Distance from Origin,1,14,
194.657,um,Surface,Distance from Origin,1,15,
201.9,um,Surface,Distance from Origin,1,16,
250.441,um,Surface,Distance from Origin,1,17,
181.644,um,Surface,Distance from Origin,1,18,
65.3206,um,Surface,Distance from Origin,1,19,
136.11,um,Surface,Distance from Origin,1,20,
