
Intensity Sum Ch=8 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
0,,Surface,8,Image 1,1,0,
2.08587e+06,,Surface,8,Image 1,1,1,
1.42699e+06,,Surface,8,Image 1,1,2,
2.36446e+06,,Surface,8,Image 1,1,3,
0,,Surface,8,Image 1,1,4,
4.50321e+06,,Surface,8,Image 1,1,5,
0,,Surface,8,Image 1,1,6,
0,,Surface,8,Image 1,1,7,
4.35323e+07,,Surface,8,Image 1,1,8,
6.75897e+06,,Surface,8,Image 1,1,9,
0,,Surface,8,Image 1,1,10,
0,,Surface,8,Image 1,1,11,
0,,Surface,8,Image 1,1,12,
962077,,Surface,8,Image 1,1,13,
0,,Surface,8,Image 1,1,14,
81307,,Surface,8,Image 1,1,15,
411228,,Surface,8,Image 1,1,16,
1.08558e+07,,Surface,8,Image 1,1,17,
4.3112e+06,,Surface,8,Image 1,1,18,
0,,Surface,8,Image 1,1,19,
8.08469e+07,,Surface,8,Image 1,1,20,
