
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.557921,,Surface,1,0,
0.453701,,Surface,1,1,
0.678822,,Surface,1,2,
0.460019,,Surface,1,3,
0.600068,,Surface,1,4,
0.317091,,Surface,1,5,
0.561942,,Surface,1,6,
0.532267,,Surface,1,7,
0.701611,,Surface,1,8,
0.399946,,Surface,1,9,
0.435225,,Surface,1,10,
0.572201,,Surface,1,11,
0.524453,,Surface,1,12,
0.628803,,Surface,1,13,
0.64926,,Surface,1,14,
0.531237,,Surface,1,15,
0.50304,,Surface,1,16,
0.497103,,Surface,1,17,
0.35365,,Surface,1,18,
0.67961,,Surface,1,19,
0.290931,,Surface,1,20,
