
Volume
 ==================== 
Volume,Unit,Category,Time,ID,
35369.5,um^3,Surface,1,0,
6706.59,um^3,Surface,1,1,
1664.06,um^3,Surface,1,2,
5953.66,um^3,Surface,1,3,
3144.35,um^3,Surface,1,4,
5823.73,um^3,Surface,1,5,
1142.48,um^3,Surface,1,6,
1162.67,um^3,Surface,1,7,
7206.9,um^3,Surface,1,8,
1047.34,um^3,Surface,1,9,
2280.86,um^3,Surface,1,10,
2512.75,um^3,Surface,1,11,
6759.41,um^3,Surface,1,12,
1370.47,um^3,Surface,1,13,
2565.91,um^3,Surface,1,14,
2940.21,um^3,Surface,1,15,
17936,um^3,Surface,1,16,
45193.6,um^3,Surface,1,17,
2923.91,um^3,Surface,1,18,
1194.03,um^3,Surface,1,19,
1966.47,um^3,Surface,1,20,
