
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.19031,,Surface,1,0,
0.374814,,Surface,1,1,
0.148549,,Surface,1,2,
0.237039,,Surface,1,3,
0.31567,,Surface,1,4,
0.245446,,Surface,1,5,
0.17427,,Surface,1,6,
0.226162,,Surface,1,7,
0.192854,,Surface,1,8,
0.229317,,Surface,1,9,
0.130161,,Surface,1,10,
0.178108,,Surface,1,11,
0.148555,,Surface,1,12,
0.238738,,Surface,1,13,
0.321434,,Surface,1,14,
0.403631,,Surface,1,15,
0.145521,,Surface,1,16,
0.127434,,Surface,1,17,
0.127366,,Surface,1,18,
0.667737,,Surface,1,19,
0.123455,,Surface,1,20,
