
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
450.711,um,Surface,Distance from Origin,1,0,
408.2,um,Surface,Distance from Origin,1,1,
373.058,um,Surface,Distance from Origin,1,2,
378.123,um,Surface,Distance from Origin,1,3,
344.969,um,Surface,Distance from Origin,1,4,
367.762,um,Surface,Distance from Origin,1,5,
337.946,um,Surface,Distance from Origin,1,6,
360.049,um,Surface,Distance from Origin,1,7,
339.801,um,Surface,Distance from Origin,1,8,
322.678,um,Surface,Distance from Origin,1,9,
302.008,um,Surface,Distance from Origin,1,10,
270.508,um,Surface,Distance from Origin,1,11,
296.048,um,Surface,Distance from Origin,1,12,
306.379,um,Surface,Distance from Origin,1,13,
234.389,um,Surface,Distance from Origin,1,14,
259.173,um,Surface,Distance from Origin,1,15,
267.207,um,Surface,Distance from Origin,1,16,
248.989,um,Surface,Distance from Origin,1,17,
236.228,um,Surface,Distance from Origin,1,18,
185.102,um,Surface,Distance from Origin,1,19,
92.255,um,Surface,Distance from Origin,1,20,
