
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.533226,,Surface,1,0,
0.193005,,Surface,1,1,
0.774531,,Surface,1,2,
0.136606,,Surface,1,3,
0.517159,,Surface,1,4,
0.478574,,Surface,1,5,
0.576008,,Surface,1,6,
0.404776,,Surface,1,7,
0.573558,,Surface,1,8,
0.36895,,Surface,1,9,
0.6545,,Surface,1,10,
0.591701,,Surface,1,11,
0.562881,,Surface,1,12,
0.43421,,Surface,1,13,
0.507671,,Surface,1,14,
0.434551,,Surface,1,15,
0.710006,,Surface,1,16,
0.626192,,Surface,1,17,
0.21255,,Surface,1,18,
0.266102,,Surface,1,19,
0.78904,,Surface,1,20,
