
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.208174,,Surface,1,0,
0.220825,,Surface,1,1,
0.293617,,Surface,1,2,
0.285303,,Surface,1,3,
0.311142,,Surface,1,4,
0.223164,,Surface,1,5,
0.281204,,Surface,1,6,
0.252146,,Surface,1,7,
0.160458,,Surface,1,8,
0.207276,,Surface,1,9,
0.283521,,Surface,1,10,
0.179011,,Surface,1,11,
0.15447,,Surface,1,12,
0.207579,,Surface,1,13,
0.306234,,Surface,1,14,
0.563241,,Surface,1,15,
0.609033,,Surface,1,16,
0.212089,,Surface,1,17,
0.233261,,Surface,1,18,
0.251423,,Surface,1,19,
0.23554,,Surface,1,20,
