
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.673711,,Surface,1,0,
0.485881,,Surface,1,1,
0.559836,,Surface,1,2,
0.579379,,Surface,1,3,
0.537441,,Surface,1,4,
0.538377,,Surface,1,5,
0.579195,,Surface,1,6,
0.598076,,Surface,1,7,
0.729185,,Surface,1,8,
0.603216,,Surface,1,9,
0.442547,,Surface,1,10,
0.721962,,Surface,1,11,
0.533455,,Surface,1,12,
0.600742,,Surface,1,13,
0.554449,,Surface,1,14,
0.209512,,Surface,1,15,
0.303417,,Surface,1,16,
0.67411,,Surface,1,17,
0.63892,,Surface,1,18,
0.567169,,Surface,1,19,
0.567085,,Surface,1,20,
