
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.570187,,Surface,1,0,
0.455818,,Surface,1,1,
0.566058,,Surface,1,2,
0.355469,,Surface,1,3,
0.644827,,Surface,1,4,
0.553643,,Surface,1,5,
0.275248,,Surface,1,6,
0.322062,,Surface,1,7,
0.421022,,Surface,1,8,
0.554392,,Surface,1,9,
0.424414,,Surface,1,10,
0.54787,,Surface,1,11,
0.398228,,Surface,1,12,
0.542866,,Surface,1,13,
0.529142,,Surface,1,14,
0.474532,,Surface,1,15,
0.522704,,Surface,1,16,
0.443475,,Surface,1,17,
0.443994,,Surface,1,18,
0.51559,,Surface,1,19,
0.339082,,Surface,1,20,
