
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
341,,Surface,3,Image 1,1,0,
294,,Surface,3,Image 1,1,1,
325,,Surface,3,Image 1,1,2,
398,,Surface,3,Image 1,1,3,
142,,Surface,3,Image 1,1,4,
286,,Surface,3,Image 1,1,5,
93,,Surface,3,Image 1,1,6,
55,,Surface,3,Image 1,1,7,
98,,Surface,3,Image 1,1,8,
377,,Surface,3,Image 1,1,9,
139,,Surface,3,Image 1,1,10,
181,,Surface,3,Image 1,1,11,
151,,Surface,3,Image 1,1,12,
102,,Surface,3,Image 1,1,13,
157,,Surface,3,Image 1,1,14,
485,,Surface,3,Image 1,1,15,
431,,Surface,3,Image 1,1,16,
203,,Surface,3,Image 1,1,17,
213,,Surface,3,Image 1,1,18,
478,,Surface,3,Image 1,1,19,
72,,Surface,3,Image 1,1,20,
