
Intensity StdDev Ch=7 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
142.509,,Surface,7,Image 1,1,0,
0,,Surface,7,Image 1,1,1,
441.396,,Surface,7,Image 1,1,2,
1835.87,,Surface,7,Image 1,1,3,
643.086,,Surface,7,Image 1,1,4,
273.651,,Surface,7,Image 1,1,5,
1141.23,,Surface,7,Image 1,1,6,
548.74,,Surface,7,Image 1,1,7,
982.613,,Surface,7,Image 1,1,8,
0,,Surface,7,Image 1,1,9,
28.1388,,Surface,7,Image 1,1,10,
769.759,,Surface,7,Image 1,1,11,
162.571,,Surface,7,Image 1,1,12,
263.145,,Surface,7,Image 1,1,13,
3126.84,,Surface,7,Image 1,1,14,
1906.56,,Surface,7,Image 1,1,15,
0,,Surface,7,Image 1,1,16,
58.6075,,Surface,7,Image 1,1,17,
283.159,,Surface,7,Image 1,1,18,
972.437,,Surface,7,Image 1,1,19,
138.581,,Surface,7,Image 1,1,20,
