
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
15189.7,,Surface,4,Image 1,1,0,
8679.56,,Surface,4,Image 1,1,1,
4386.6,,Surface,4,Image 1,1,2,
15812.6,,Surface,4,Image 1,1,3,
4440.82,,Surface,4,Image 1,1,4,
3225.76,,Surface,4,Image 1,1,5,
4245.72,,Surface,4,Image 1,1,6,
2968.99,,Surface,4,Image 1,1,7,
16456.4,,Surface,4,Image 1,1,8,
15074.3,,Surface,4,Image 1,1,9,
3664.2,,Surface,4,Image 1,1,10,
7377.16,,Surface,4,Image 1,1,11,
16573.6,,Surface,4,Image 1,1,12,
14484.6,,Surface,4,Image 1,1,13,
11118.4,,Surface,4,Image 1,1,14,
16467.1,,Surface,4,Image 1,1,15,
9025.49,,Surface,4,Image 1,1,16,
15058.3,,Surface,4,Image 1,1,17,
9487.99,,Surface,4,Image 1,1,18,
14000.5,,Surface,4,Image 1,1,19,
