
Intensity Median Ch=5 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
0,,Surface,5,Image 1,1,0,
0,,Surface,5,Image 1,1,1,
15.96,,Surface,5,Image 1,1,2,
29.54,,Surface,5,Image 1,1,3,
58.7598,,Surface,5,Image 1,1,4,
19.448,,Surface,5,Image 1,1,5,
9.796,,Surface,5,Image 1,1,6,
19.364,,Surface,5,Image 1,1,7,
18.432,,Surface,5,Image 1,1,8,
17.576,,Surface,5,Image 1,1,9,
12.064,,Surface,5,Image 1,1,10,
14.78,,Surface,5,Image 1,1,11,
12.432,,Surface,5,Image 1,1,12,
18.376,,Surface,5,Image 1,1,13,
22.592,,Surface,5,Image 1,1,14,
18.008,,Surface,5,Image 1,1,15,
17.116,,Surface,5,Image 1,1,16,
5448.61,,Surface,5,Image 1,1,17,
21.072,,Surface,5,Image 1,1,18,
27.216,,Surface,5,Image 1,1,19,
