
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.0385858,,Surface,1,0,
0.098388,,Surface,1,1,
0.106525,,Surface,1,2,
0.173944,,Surface,1,3,
0.0336697,,Surface,1,4,
0.150454,,Surface,1,5,
0.106215,,Surface,1,6,
0.211889,,Surface,1,7,
0.0573147,,Surface,1,8,
0.129799,,Surface,1,9,
0.11847,,Surface,1,10,
0.192683,,Surface,1,11,
0.179589,,Surface,1,12,
0.0494805,,Surface,1,13,
0.0431606,,Surface,1,14,
0.043198,,Surface,1,15,
0.169321,,Surface,1,16,
0.20804,,Surface,1,17,
0.0747202,,Surface,1,18,
0.052041,,Surface,1,19,
