
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
0.606476,um,Surface,Image 1,1,0,
0,um,Surface,Image 1,1,1,
62.6087,um,Surface,Image 1,1,2,
0,um,Surface,Image 1,1,3,
42.1856,um,Surface,Image 1,1,4,
31.6336,um,Surface,Image 1,1,5,
17.5139,um,Surface,Image 1,1,6,
135.109,um,Surface,Image 1,1,7,
0,um,Surface,Image 1,1,8,
82.5254,um,Surface,Image 1,1,9,
98.7864,um,Surface,Image 1,1,10,
0,um,Surface,Image 1,1,11,
0,um,Surface,Image 1,1,12,
81.3661,um,Surface,Image 1,1,13,
0,um,Surface,Image 1,1,14,
0,um,Surface,Image 1,1,15,
34.3674,um,Surface,Image 1,1,16,
3.01294,um,Surface,Image 1,1,17,
2.49301,um,Surface,Image 1,1,18,
38.6138,um,Surface,Image 1,1,19,
