
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
3723,,Surface,4,Image 1,1,0,
3398,,Surface,4,Image 1,1,1,
4835,,Surface,4,Image 1,1,2,
3935,,Surface,4,Image 1,1,3,
3320,,Surface,4,Image 1,1,4,
4790,,Surface,4,Image 1,1,5,
4821,,Surface,4,Image 1,1,6,
4977,,Surface,4,Image 1,1,7,
3984,,Surface,4,Image 1,1,8,
3994,,Surface,4,Image 1,1,9,
4800,,Surface,4,Image 1,1,10,
5141,,Surface,4,Image 1,1,11,
4765,,Surface,4,Image 1,1,12,
4701,,Surface,4,Image 1,1,13,
3518,,Surface,4,Image 1,1,14,
4413,,Surface,4,Image 1,1,15,
3632,,Surface,4,Image 1,1,16,
4465,,Surface,4,Image 1,1,17,
3905,,Surface,4,Image 1,1,18,
3958,,Surface,4,Image 1,1,19,
