
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.365196,,Surface,1,0,
0.278477,,Surface,1,1,
0.518643,,Surface,1,2,
0.38004,,Surface,1,3,
0.177347,,Surface,1,4,
0.335294,,Surface,1,5,
0.445165,,Surface,1,6,
0.437588,,Surface,1,7,
0.424968,,Surface,1,8,
0.470229,,Surface,1,9,
0.517207,,Surface,1,10,
0.517717,,Surface,1,11,
0.714197,,Surface,1,12,
0.42755,,Surface,1,13,
0.326386,,Surface,1,14,
0.410993,,Surface,1,15,
0.485697,,Surface,1,16,
0.531588,,Surface,1,17,
0.431699,,Surface,1,18,
0.443851,,Surface,1,19,
