
Intensity Mean Ch=5 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1760.74,,Surface,5,Image 1,1,0,
1001.39,,Surface,5,Image 1,1,1,
961.052,,Surface,5,Image 1,1,2,
2826.6,,Surface,5,Image 1,1,3,
1773.7,,Surface,5,Image 1,1,4,
731.501,,Surface,5,Image 1,1,5,
1070.53,,Surface,5,Image 1,1,6,
1531.83,,Surface,5,Image 1,1,7,
978.676,,Surface,5,Image 1,1,8,
3441.88,,Surface,5,Image 1,1,9,
483.9,,Surface,5,Image 1,1,10,
1229.63,,Surface,5,Image 1,1,11,
1090.71,,Surface,5,Image 1,1,12,
4312.5,,Surface,5,Image 1,1,13,
1439.96,,Surface,5,Image 1,1,14,
3046.06,,Surface,5,Image 1,1,15,
792.737,,Surface,5,Image 1,1,16,
6758.58,,Surface,5,Image 1,1,17,
1558.35,,Surface,5,Image 1,1,18,
1560.7,,Surface,5,Image 1,1,19,
