
Intensity StdDev Ch=6 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
1101.9,,Surface,6,Image 1,1,0,
638.172,,Surface,6,Image 1,1,1,
630.173,,Surface,6,Image 1,1,2,
1111.35,,Surface,6,Image 1,1,3,
611.912,,Surface,6,Image 1,1,4,
705.78,,Surface,6,Image 1,1,5,
596.651,,Surface,6,Image 1,1,6,
556.376,,Surface,6,Image 1,1,7,
587.9,,Surface,6,Image 1,1,8,
1748,,Surface,6,Image 1,1,9,
1071.77,,Surface,6,Image 1,1,10,
634.708,,Surface,6,Image 1,1,11,
1103.23,,Surface,6,Image 1,1,12,
590.344,,Surface,6,Image 1,1,13,
626.916,,Surface,6,Image 1,1,14,
592.285,,Surface,6,Image 1,1,15,
1103.98,,Surface,6,Image 1,1,16,
607.254,,Surface,6,Image 1,1,17,
627.572,,Surface,6,Image 1,1,18,
505.394,,Surface,6,Image 1,1,19,
