
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
43.8666,um,Surface,Image 1,1,0,
0,um,Surface,Image 1,1,1,
60.8054,um,Surface,Image 1,1,2,
85.3741,um,Surface,Image 1,1,3,
0,um,Surface,Image 1,1,4,
0,um,Surface,Image 1,1,5,
72.4654,um,Surface,Image 1,1,6,
4.00732,um,Surface,Image 1,1,7,
34.3092,um,Surface,Image 1,1,8,
105.816,um,Surface,Image 1,1,9,
60.8306,um,Surface,Image 1,1,10,
1.86536,um,Surface,Image 1,1,11,
144.729,um,Surface,Image 1,1,12,
120.149,um,Surface,Image 1,1,13,
51.1241,um,Surface,Image 1,1,14,
17.0261,um,Surface,Image 1,1,15,
110.183,um,Surface,Image 1,1,16,
58.106,um,Surface,Image 1,1,17,
0,um,Surface,Image 1,1,18,
0,um,Surface,Image 1,1,19,
