
Intensity Median Ch=7 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
3.801,,Surface,7,Image 1,1,0,
5.722,,Surface,7,Image 1,1,1,
0,,Surface,7,Image 1,1,2,
3.8495,,Surface,7,Image 1,1,3,
7.635,,Surface,7,Image 1,1,4,
5.83,,Surface,7,Image 1,1,5,
0,,Surface,7,Image 1,1,6,
0,,Surface,7,Image 1,1,7,
0,,Surface,7,Image 1,1,8,
5.648,,Surface,7,Image 1,1,9,
23.7261,,Surface,7,Image 1,1,10,
0,,Surface,7,Image 1,1,11,
10.992,,Surface,7,Image 1,1,12,
0,,Surface,7,Image 1,1,13,
0,,Surface,7,Image 1,1,14,
0,,Surface,7,Image 1,1,15,
6.982,,Surface,7,Image 1,1,16,
0,,Surface,7,Image 1,1,17,
0,,Surface,7,Image 1,1,18,
0,,Surface,7,Image 1,1,19,
