
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
227.338,301.315,33.477,um,Surface,Position,1,0,
186.883,346.338,34.6127,um,Surface,Position,1,1,
240.145,273.327,41.6421,um,Surface,Position,1,2,
258.426,235.121,31.509,um,Surface,Position,1,3,
337.128,198.476,34.0689,um,Surface,Position,1,4,
118.505,347.158,36.1466,um,Surface,Position,1,5,
174.111,265.552,44.2124,um,Surface,Position,1,6,
315.193,151.592,36.2987,um,Surface,Position,1,7,
81.0577,306.47,44.6102,um,Surface,Position,1,8,
230.993,154.865,28.9287,um,Surface,Position,1,9,
197.683,243.609,30.5618,um,Surface,Position,1,10,
315.694,62.5406,33.7907,um,Surface,Position,1,11,
163.978,174.196,41.7064,um,Surface,Position,1,12,
165.508,130.42,38.4915,um,Surface,Position,1,13,
62.1727,223.664,40.0695,um,Surface,Position,1,14,
30.4052,266.867,35.9661,um,Surface,Position,1,15,
124.253,162.91,30.5194,um,Surface,Position,1,16,
68.0324,136.402,39.1135,um,Surface,Position,1,17,
115.15,3.72456,38.0041,um,Surface,Position,1,18,
31.7161,15.6602,39.1511,um,Surface,Position,1,19,
