
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
237,,Surface,2,Image 1,1,0,
18,,Surface,2,Image 1,1,1,
316,,Surface,2,Image 1,1,2,
319,,Surface,2,Image 1,1,3,
35,,Surface,2,Image 1,1,4,
48,,Surface,2,Image 1,1,5,
20,,Surface,2,Image 1,1,6,
137,,Surface,2,Image 1,1,7,
202,,Surface,2,Image 1,1,8,
218,,Surface,2,Image 1,1,9,
76,,Surface,2,Image 1,1,10,
36,,Surface,2,Image 1,1,11,
192,,Surface,2,Image 1,1,12,
83,,Surface,2,Image 1,1,13,
47,,Surface,2,Image 1,1,14,
39,,Surface,2,Image 1,1,15,
27,,Surface,2,Image 1,1,16,
51,,Surface,2,Image 1,1,17,
