
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
2889.12,,Surface,2,Image 1,1,0,
2693.11,,Surface,2,Image 1,1,1,
2937.32,,Surface,2,Image 1,1,2,
3516.87,,Surface,2,Image 1,1,3,
2722.57,,Surface,2,Image 1,1,4,
3225.84,,Surface,2,Image 1,1,5,
2376.07,,Surface,2,Image 1,1,6,
2545.35,,Surface,2,Image 1,1,7,
3276.32,,Surface,2,Image 1,1,8,
2992.09,,Surface,2,Image 1,1,9,
3004.34,,Surface,2,Image 1,1,10,
2272.31,,Surface,2,Image 1,1,11,
2378.26,,Surface,2,Image 1,1,12,
2724.76,,Surface,2,Image 1,1,13,
1635.7,,Surface,2,Image 1,1,14,
2582.58,,Surface,2,Image 1,1,15,
1904.78,,Surface,2,Image 1,1,16,
2273.73,,Surface,2,Image 1,1,17,
