
Intensity StdDev Ch=7 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
4971.89,,Surface,7,Image 1,1,0,
12847,,Surface,7,Image 1,1,1,
6858.2,,Surface,7,Image 1,1,2,
6193.45,,Surface,7,Image 1,1,3,
20255.1,,Surface,7,Image 1,1,4,
18201.9,,Surface,7,Image 1,1,5,
16328.4,,Surface,7,Image 1,1,6,
17436.3,,Surface,7,Image 1,1,7,
16700.2,,Surface,7,Image 1,1,8,
7722.9,,Surface,7,Image 1,1,9,
17174.2,,Surface,7,Image 1,1,10,
19348.2,,Surface,7,Image 1,1,11,
9724.47,,Surface,7,Image 1,1,12,
15821.6,,Surface,7,Image 1,1,13,
13702,,Surface,7,Image 1,1,14,
16905.3,,Surface,7,Image 1,1,15,
8961.13,,Surface,7,Image 1,1,16,
14238.8,,Surface,7,Image 1,1,17,
