
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
21.9796,um,Surface,Image 1,1,0,
7.5943,um,Surface,Image 1,1,1,
24.6841,um,Surface,Image 1,1,2,
1.27713,um,Surface,Image 1,1,3,
69.2395,um,Surface,Image 1,1,4,
70.8434,um,Surface,Image 1,1,5,
0,um,Surface,Image 1,1,6,
0,um,Surface,Image 1,1,7,
2.82843,um,Surface,Image 1,1,8,
17.5453,um,Surface,Image 1,1,9,
81.072,um,Surface,Image 1,1,10,
57.6526,um,Surface,Image 1,1,11,
2.9052,um,Surface,Image 1,1,12,
71.8176,um,Surface,Image 1,1,13,
109.921,um,Surface,Image 1,1,14,
0,um,Surface,Image 1,1,15,
59.4763,um,Surface,Image 1,1,16,
22.0896,um,Surface,Image 1,1,17,
