
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
502,,Surface,3,Image 1,1,0,
630,,Surface,3,Image 1,1,1,
764,,Surface,3,Image 1,1,2,
611,,Surface,3,Image 1,1,3,
843,,Surface,3,Image 1,1,4,
652,,Surface,3,Image 1,1,5,
452,,Surface,3,Image 1,1,6,
673,,Surface,3,Image 1,1,7,
481,,Surface,3,Image 1,1,8,
1000,,Surface,3,Image 1,1,9,
528,,Surface,3,Image 1,1,10,
700,,Surface,3,Image 1,1,11,
558,,Surface,3,Image 1,1,12,
521,,Surface,3,Image 1,1,13,
452,,Surface,3,Image 1,1,14,
504,,Surface,3,Image 1,1,15,
689,,Surface,3,Image 1,1,16,
854,,Surface,3,Image 1,1,17,
