
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.455095,,Surface,1,0,
0.0823446,,Surface,1,1,
0.178636,,Surface,1,2,
0.153628,,Surface,1,3,
0.183323,,Surface,1,4,
0.143629,,Surface,1,5,
0.227697,,Surface,1,6,
0.115454,,Surface,1,7,
0.287474,,Surface,1,8,
0.126689,,Surface,1,9,
0.0713415,,Surface,1,10,
0.133646,,Surface,1,11,
0.0738767,,Surface,1,12,
0.0684566,,Surface,1,13,
0.042355,,Surface,1,14,
0.174267,,Surface,1,15,
0.253373,,Surface,1,16,
0.229183,,Surface,1,17,
