
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.215904,,Surface,1,0,
0.810944,,Surface,1,1,
0.685995,,Surface,1,2,
0.725263,,Surface,1,3,
0.406408,,Surface,1,4,
0.632724,,Surface,1,5,
0.339933,,Surface,1,6,
0.366027,,Surface,1,7,
0.201976,,Surface,1,8,
0.787898,,Surface,1,9,
0.814244,,Surface,1,10,
0.426156,,Surface,1,11,
0.72078,,Surface,1,12,
0.900245,,Surface,1,13,
0.558315,,Surface,1,14,
0.492599,,Surface,1,15,
0.567645,,Surface,1,16,
0.639036,,Surface,1,17,
