
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.647633,,Surface,1,0,
0.257412,,Surface,1,1,
0.288311,,Surface,1,2,
0.186054,,Surface,1,3,
0.186456,,Surface,1,4,
0.463536,,Surface,1,5,
0.42313,,Surface,1,6,
0.294821,,Surface,1,7,
0.186689,,Surface,1,8,
0.331106,,Surface,1,9,
0.387249,,Surface,1,10,
0.273828,,Surface,1,11,
0.274728,,Surface,1,12,
0.150183,,Surface,1,13,
0.31572,,Surface,1,14,
0.151278,,Surface,1,15,
0.229151,,Surface,1,16,
0.152867,,Surface,1,17,
0.247613,,Surface,1,18,
0.39639,,Surface,1,19,
0.666923,,Surface,1,20,
0.328506,,Surface,1,21,
0.148879,,Surface,1,22,
0.162151,,Surface,1,23,
0.190367,,Surface,1,24,
0.155013,,Surface,1,25,
0.215842,,Surface,1,26,
