
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
467.018,um,Surface,Distance from Origin,1,0,
414.118,um,Surface,Distance from Origin,1,1,
392.596,um,Surface,Distance from Origin,1,2,
390.255,um,Surface,Distance from Origin,1,3,
384.033,um,Surface,Distance from Origin,1,4,
339.225,um,Surface,Distance from Origin,1,5,
351.65,um,Surface,Distance from Origin,1,6,
370.646,um,Surface,Distance from Origin,1,7,
343.279,um,Surface,Distance from Origin,1,8,
355.23,um,Surface,Distance from Origin,1,9,
337.417,um,Surface,Distance from Origin,1,10,
295.074,um,Surface,Distance from Origin,1,11,
277.381,um,Surface,Distance from Origin,1,12,
270.886,um,Surface,Distance from Origin,1,13,
277.73,um,Surface,Distance from Origin,1,14,
312.37,um,Surface,Distance from Origin,1,15,
231.173,um,Surface,Distance from Origin,1,16,
239.395,um,Surface,Distance from Origin,1,17,
193.391,um,Surface,Distance from Origin,1,18,
251.805,um,Surface,Distance from Origin,1,19,
255.651,um,Surface,Distance from Origin,1,20,
192.07,um,Surface,Distance from Origin,1,21,
197.736,um,Surface,Distance from Origin,1,22,
146.622,um,Surface,Distance from Origin,1,23,
178.272,um,Surface,Distance from Origin,1,24,
162.71,um,Surface,Distance from Origin,1,25,
129.826,um,Surface,Distance from Origin,1,26,
