
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.393303,,Surface,1,0,
0.459086,,Surface,1,1,
0.691313,,Surface,1,2,
0.495893,,Surface,1,3,
0.351386,,Surface,1,4,
0.479854,,Surface,1,5,
0.433934,,Surface,1,6,
0.425508,,Surface,1,7,
0.411142,,Surface,1,8,
0.656158,,Surface,1,9,
0.49252,,Surface,1,10,
0.514043,,Surface,1,11,
0.480655,,Surface,1,12,
0.344957,,Surface,1,13,
0.694269,,Surface,1,14,
0.348297,,Surface,1,15,
0.469995,,Surface,1,16,
0.417514,,Surface,1,17,
0.661926,,Surface,1,18,
0.32686,,Surface,1,19,
0.441008,,Surface,1,20,
0.699366,,Surface,1,21,
0.444469,,Surface,1,22,
0.353233,,Surface,1,23,
0.466543,,Surface,1,24,
0.317158,,Surface,1,25,
0.353613,,Surface,1,26,
