
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
349.208,308.019,35.8295,um,Surface,Position,1,0,
222.723,345.183,52.3122,um,Surface,Position,1,1,
247.673,301.754,41.645,um,Surface,Position,1,2,
226.641,312.744,55.8893,um,Surface,Position,1,3,
295.693,242.987,31.685,um,Surface,Position,1,4,
282.902,179.409,53.4112,um,Surface,Position,1,5,
168.832,304.74,47.823,um,Surface,Position,1,6,
338.698,145.659,38.0209,um,Surface,Position,1,7,
220.009,260.779,37.8335,um,Surface,Position,1,8,
76.4349,344.194,43.3209,um,Surface,Position,1,9,
312.242,119.601,45.2906,um,Surface,Position,1,10,
135.313,257.836,47.7433,um,Surface,Position,1,11,
116.9,249.51,31.9306,um,Surface,Position,1,12,
209.124,168.752,34.196,um,Surface,Position,1,13,
272.384,32.8494,43.1508,um,Surface,Position,1,14,
36.4869,306.871,45.5397,um,Surface,Position,1,15,
136.576,183.345,34.2399,um,Surface,Position,1,16,
75.9481,224.208,35.6775,um,Surface,Position,1,17,
86.4812,170.068,31.5943,um,Surface,Position,1,18,
232.453,88.7193,38.7322,um,Surface,Position,1,19,
253.168,6.29993,34.9791,um,Surface,Position,1,20,
180.771,36.3737,53.7577,um,Surface,Position,1,21,
107.211,159.126,47.7905,um,Surface,Position,1,22,
106.57,94.2684,35.4156,um,Surface,Position,1,23,
20.7975,170.604,47.3575,um,Surface,Position,1,24,
151.197,48.7149,35.2249,um,Surface,Position,1,25,
32.4658,119.91,37.7144,um,Surface,Position,1,26,
