
Area
 ==================== 
Area,Unit,Category,Time,ID,
2264.45,um^2,Surface,1,0,
1243.75,um^2,Surface,1,1,
824.358,um^2,Surface,1,2,
1704.57,um^2,Surface,1,3,
11521.5,um^2,Surface,1,4,
1226.53,um^2,Surface,1,5,
5900.52,um^2,Surface,1,6,
9189.24,um^2,Surface,1,7,
13370.6,um^2,Surface,1,8,
750.248,um^2,Surface,1,9,
3656.83,um^2,Surface,1,10,
5639.79,um^2,Surface,1,11,
1175.94,um^2,Surface,1,12,
17877.7,um^2,Surface,1,13,
1385.95,um^2,Surface,1,14,
12932.4,um^2,Surface,1,15,
5491.29,um^2,Surface,1,16,
4524.09,um^2,Surface,1,17,
786.328,um^2,Surface,1,18,
22251.3,um^2,Surface,1,19,
2539.86,um^2,Surface,1,20,
847.739,um^2,Surface,1,21,
7492.71,um^2,Surface,1,22,
9201,um^2,Surface,1,23,
3917.1,um^2,Surface,1,24,
16613.7,um^2,Surface,1,25,
14573.7,um^2,Surface,1,26,
