
Intensity Sum Ch=6 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
7.5151e+07,,Surface,6,Image 1,1,0,
3.43767e+08,,Surface,6,Image 1,1,1,
8.9587e+07,,Surface,6,Image 1,1,2,
5.38564e+08,,Surface,6,Image 1,1,3,
1.78737e+08,,Surface,6,Image 1,1,4,
6.45289e+08,,Surface,6,Image 1,1,5,
6.882e+07,,Surface,6,Image 1,1,6,
1.43473e+07,,Surface,6,Image 1,1,7,
6.53824e+07,,Surface,6,Image 1,1,8,
1.2341e+08,,Surface,6,Image 1,1,9,
1.28698e+08,,Surface,6,Image 1,1,10,
3.63032e+08,,Surface,6,Image 1,1,11,
1.68389e+08,,Surface,6,Image 1,1,12,
9.9509e+07,,Surface,6,Image 1,1,13,
6.63557e+08,,Surface,6,Image 1,1,14,
