
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
1172,,Surface,3,Image 1,1,0,
1041,,Surface,3,Image 1,1,1,
1178,,Surface,3,Image 1,1,2,
352,,Surface,3,Image 1,1,3,
754,,Surface,3,Image 1,1,4,
754,,Surface,3,Image 1,1,5,
240,,Surface,3,Image 1,1,6,
625,,Surface,3,Image 1,1,7,
1367,,Surface,3,Image 1,1,8,
883,,Surface,3,Image 1,1,9,
623,,Surface,3,Image 1,1,10,
301,,Surface,3,Image 1,1,11,
1512,,Surface,3,Image 1,1,12,
914,,Surface,3,Image 1,1,13,
501,,Surface,3,Image 1,1,14,
