
Intensity Mean Ch=2 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3249.18,,Surface,2,Image 1,1,0,
2922.36,,Surface,2,Image 1,1,1,
2560.07,,Surface,2,Image 1,1,2,
2510.33,,Surface,2,Image 1,1,3,
2405.06,,Surface,2,Image 1,1,4,
3035.29,,Surface,2,Image 1,1,5,
2321.38,,Surface,2,Image 1,1,6,
3274.79,,Surface,2,Image 1,1,7,
2202.79,,Surface,2,Image 1,1,8,
3210.79,,Surface,2,Image 1,1,9,
2286.09,,Surface,2,Image 1,1,10,
2167.71,,Surface,2,Image 1,1,11,
3465.72,,Surface,2,Image 1,1,12,
2945.82,,Surface,2,Image 1,1,13,
2557.96,,Surface,2,Image 1,1,14,
