
Intensity Sum Ch=6 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
5.35218e+07,,Surface,6,Image 1,1,0,
2.39892e+08,,Surface,6,Image 1,1,1,
6.84586e+08,,Surface,6,Image 1,1,2,
1.41294e+08,,Surface,6,Image 1,1,3,
5.29299e+07,,Surface,6,Image 1,1,4,
2.04118e+07,,Surface,6,Image 1,1,5,
4.97862e+08,,Surface,6,Image 1,1,6,
2.11288e+08,,Surface,6,Image 1,1,7,
5.08959e+08,,Surface,6,Image 1,1,8,
5.59698e+07,,Surface,6,Image 1,1,9,
2.56746e+08,,Surface,6,Image 1,1,10,
1.31657e+08,,Surface,6,Image 1,1,11,
8.47305e+07,,Surface,6,Image 1,1,12,
8.79148e+08,,Surface,6,Image 1,1,13,
2.62769e+07,,Surface,6,Image 1,1,14,
6.47728e+07,,Surface,6,Image 1,1,15,
5.01716e+08,,Surface,6,Image 1,1,16,
2.77096e+08,,Surface,6,Image 1,1,17,
1.40429e+08,,Surface,6,Image 1,1,18,
3.94524e+08,,Surface,6,Image 1,1,19,
8.22166e+06,,Surface,6,Image 1,1,20,
1.34746e+08,,Surface,6,Image 1,1,21,
