
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
322.136,349.222,11.1909,um,Surface,Position,1,0,
338.003,273.98,11.0556,um,Surface,Position,1,1,
233.471,277.229,14.973,um,Surface,Position,1,2,
307.297,177.956,13.9428,um,Surface,Position,1,3,
236.735,233.705,8.44589,um,Surface,Position,1,4,
347.3,117.503,9.0618,um,Surface,Position,1,5,
152.515,315.25,12.4212,um,Surface,Position,1,6,
95.3601,312.056,16.6159,um,Surface,Position,1,7,
213.552,193.927,15.546,um,Surface,Position,1,8,
345.306,15.9604,11.9906,um,Surface,Position,1,9,
71.9571,254.665,13.9456,um,Surface,Position,1,10,
298.164,24.11,19.5367,um,Surface,Position,1,11,
157.366,149.68,9.74721,um,Surface,Position,1,12,
149.957,201.093,16.471,um,Surface,Position,1,13,
111.162,134.209,19.376,um,Surface,Position,1,14,
115.288,132.793,10.1178,um,Surface,Position,1,15,
22.8465,241.607,13.7547,um,Surface,Position,1,16,
188.092,55.481,13.351,um,Surface,Position,1,17,
165.158,19.3123,15.7508,um,Surface,Position,1,18,
20.854,137.338,11.4319,um,Surface,Position,1,19,
106.189,5.67838,8.94504,um,Surface,Position,1,20,
9.25952,52.6054,12.8004,um,Surface,Position,1,21,
