
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
475.24,um,Surface,Distance from Origin,1,0,
435.239,um,Surface,Distance from Origin,1,1,
362.751,um,Surface,Distance from Origin,1,2,
355.379,um,Surface,Distance from Origin,1,3,
332.765,um,Surface,Distance from Origin,1,4,
366.752,um,Surface,Distance from Origin,1,5,
350.425,um,Surface,Distance from Origin,1,6,
326.724,um,Surface,Distance from Origin,1,7,
288.883,um,Surface,Distance from Origin,1,8,
345.883,um,Surface,Distance from Origin,1,9,
265.003,um,Surface,Distance from Origin,1,10,
299.774,um,Surface,Distance from Origin,1,11,
217.401,um,Surface,Distance from Origin,1,12,
251.39,um,Surface,Distance from Origin,1,13,
175.341,um,Surface,Distance from Origin,1,14,
176.147,um,Surface,Distance from Origin,1,15,
243.074,um,Surface,Distance from Origin,1,16,
196.558,um,Surface,Distance from Origin,1,17,
167.028,um,Surface,Distance from Origin,1,18,
139.382,um,Surface,Distance from Origin,1,19,
106.717,um,Surface,Distance from Origin,1,20,
54.9264,um,Surface,Distance from Origin,1,21,
