
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.524151,,Surface,1,0,
0.11117,,Surface,1,1,
0.167932,,Surface,1,2,
0.173522,,Surface,1,3,
0.0419887,,Surface,1,4,
0.227959,,Surface,1,5,
0.102891,,Surface,1,6,
0.177466,,Surface,1,7,
0.181628,,Surface,1,8,
0.393309,,Surface,1,9,
0.202671,,Surface,1,10,
0.144716,,Surface,1,11,
0.127171,,Surface,1,12,
0.120926,,Surface,1,13,
0.217938,,Surface,1,14,
0.127836,,Surface,1,15,
0.126797,,Surface,1,16,
0.217341,,Surface,1,17,
0.210759,,Surface,1,18,
0.0961044,,Surface,1,19,
0.222692,,Surface,1,20,
0.377417,,Surface,1,21,
