
Intensity StdDev Ch=6 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
2099.04,,Surface,6,Image 1,1,0,
2987.07,,Surface,6,Image 1,1,1,
876.48,,Surface,6,Image 1,1,2,
2531.05,,Surface,6,Image 1,1,3,
1945.72,,Surface,6,Image 1,1,4,
1640.64,,Surface,6,Image 1,1,5,
2618.72,,Surface,6,Image 1,1,6,
1983.18,,Surface,6,Image 1,1,7,
1099.43,,Surface,6,Image 1,1,8,
1621.49,,Surface,6,Image 1,1,9,
1369.45,,Surface,6,Image 1,1,10,
1126.38,,Surface,6,Image 1,1,11,
2214.67,,Surface,6,Image 1,1,12,
1939.05,,Surface,6,Image 1,1,13,
969.302,,Surface,6,Image 1,1,14,
