
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.487026,,Surface,1,0,
0.542267,,Surface,1,1,
0.575426,,Surface,1,2,
0.407816,,Surface,1,3,
0.419845,,Surface,1,4,
0.414584,,Surface,1,5,
0.301418,,Surface,1,6,
0.559035,,Surface,1,7,
0.410816,,Surface,1,8,
0.418197,,Surface,1,9,
0.395987,,Surface,1,10,
0.357671,,Surface,1,11,
0.425062,,Surface,1,12,
0.610631,,Surface,1,13,
0.469084,,Surface,1,14,
0.540621,,Surface,1,15,
0.560721,,Surface,1,16,
0.35444,,Surface,1,17,
0.614429,,Surface,1,18,
0.234607,,Surface,1,19,
0.741613,,Surface,1,20,
0.456651,,Surface,1,21,
0.569336,,Surface,1,22,
