
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
442.106,um,Surface,Distance from Origin,1,0,
415.051,um,Surface,Distance from Origin,1,1,
410.523,um,Surface,Distance from Origin,1,2,
423.997,um,Surface,Distance from Origin,1,3,
357.68,um,Surface,Distance from Origin,1,4,
318.055,um,Surface,Distance from Origin,1,5,
349.197,um,Surface,Distance from Origin,1,6,
293.788,um,Surface,Distance from Origin,1,7,
314.933,um,Surface,Distance from Origin,1,8,
285.319,um,Surface,Distance from Origin,1,9,
253.591,um,Surface,Distance from Origin,1,10,
249.415,um,Surface,Distance from Origin,1,11,
283.002,um,Surface,Distance from Origin,1,12,
248.248,um,Surface,Distance from Origin,1,13,
301.448,um,Surface,Distance from Origin,1,14,
268.932,um,Surface,Distance from Origin,1,15,
211.99,um,Surface,Distance from Origin,1,16,
224.762,um,Surface,Distance from Origin,1,17,
216.038,um,Surface,Distance from Origin,1,18,
251.87,um,Surface,Distance from Origin,1,19,
105.175,um,Surface,Distance from Origin,1,20,
129.998,um,Surface,Distance from Origin,1,21,
66.2139,um,Surface,Distance from Origin,1,22,
