
Overall
 ==================== 
Variable,Value,Unit,Time,ID,
Number of Disconnected Components per Time Point,23,,1,,
Number of Surfaces per Time Point,23,,1,,
Total Number of Disconnected Components,23,,,,
Total Number of Surfaces,23,,,,
