
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
308.242,253.734,12.6761,um,Surface,Position,1,0,
228.044,288.902,12.947,um,Surface,Position,1,1,
185.021,333.618,14.3603,um,Surface,Position,1,2,
310.376,180.679,15.0262,um,Surface,Position,1,3,
120.993,334.125,13.3011,um,Surface,Position,1,4,
214.448,230.788,13.6011,um,Surface,Position,1,5,
343.108,60.2426,11.3357,um,Surface,Position,1,6,
116.272,215.431,14.3872,um,Surface,Position,1,7,
191.935,97.4038,17.2903,um,Surface,Position,1,8,
61.012,66.2321,15.8164,um,Surface,Position,1,9,
140.215,58.5076,17.6384,um,Surface,Position,1,10,
