
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
677.815,,Surface,6,Image 1,1,0,
634.883,,Surface,6,Image 1,1,1,
252.66,,Surface,6,Image 1,1,2,
384.675,,Surface,6,Image 1,1,3,
496.372,,Surface,6,Image 1,1,4,
88.8357,,Surface,6,Image 1,1,5,
571.716,,Surface,6,Image 1,1,6,
321.067,,Surface,6,Image 1,1,7,
637.871,,Surface,6,Image 1,1,8,
497.337,,Surface,6,Image 1,1,9,
496.082,,Surface,6,Image 1,1,10,
543.859,,Surface,6,Image 1,1,11,
171.121,,Surface,6,Image 1,1,12,
729.181,,Surface,6,Image 1,1,13,
346.242,,Surface,6,Image 1,1,14,
