
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
8.18083e+07,,Surface,2,Image 1,1,0,
4.39142e+07,,Surface,2,Image 1,1,1,
5.12454e+07,,Surface,2,Image 1,1,2,
1.15218e+08,,Surface,2,Image 1,1,3,
1.59029e+09,,Surface,2,Image 1,1,4,
1.05724e+08,,Surface,2,Image 1,1,5,
2.13748e+09,,Surface,2,Image 1,1,6,
1.64756e+08,,Surface,2,Image 1,1,7,
2.66031e+08,,Surface,2,Image 1,1,8,
2.67416e+08,,Surface,2,Image 1,1,9,
6.26604e+08,,Surface,2,Image 1,1,10,
6.85038e+07,,Surface,2,Image 1,1,11,
3.59896e+08,,Surface,2,Image 1,1,12,
5.70586e+07,,Surface,2,Image 1,1,13,
2.39154e+08,,Surface,2,Image 1,1,14,
