
Intensity StdDev Ch=8 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
725.856,,Surface,8,Image 1,1,0,
99.8817,,Surface,8,Image 1,1,1,
0,,Surface,8,Image 1,1,2,
252.417,,Surface,8,Image 1,1,3,
1144.27,,Surface,8,Image 1,1,4,
0,,Surface,8,Image 1,1,5,
0,,Surface,8,Image 1,1,6,
735.979,,Surface,8,Image 1,1,7,
10.7609,,Surface,8,Image 1,1,8,
682.078,,Surface,8,Image 1,1,9,
857.756,,Surface,8,Image 1,1,10,
594.29,,Surface,8,Image 1,1,11,
1418.1,,Surface,8,Image 1,1,12,
453.996,,Surface,8,Image 1,1,13,
206.336,,Surface,8,Image 1,1,14,
2119.26,,Surface,8,Image 1,1,15,
792.575,,Surface,8,Image 1,1,16,
1440.87,,Surface,8,Image 1,1,17,
411.304,,Surface,8,Image 1,1,18,
0,,Surface,8,Image 1,1,19,
244.084,,Surface,8,Image 1,1,20,
151.338,,Surface,8,Image 1,1,21,
193.034,,Surface,8,Image 1,1,22,
586.756,,Surface,8,Image 1,1,23,
