
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
648.127,,Surface,2,Image 1,1,0,
529.212,,Surface,2,Image 1,1,1,
449.988,,Surface,2,Image 1,1,2,
573.813,,Surface,2,Image 1,1,3,
754.437,,Surface,2,Image 1,1,4,
528.656,,Surface,2,Image 1,1,5,
526.054,,Surface,2,Image 1,1,6,
573.474,,Surface,2,Image 1,1,7,
516.709,,Surface,2,Image 1,1,8,
818.769,,Surface,2,Image 1,1,9,
942.906,,Surface,2,Image 1,1,10,
661.236,,Surface,2,Image 1,1,11,
1061.32,,Surface,2,Image 1,1,12,
616.224,,Surface,2,Image 1,1,13,
518.652,,Surface,2,Image 1,1,14,
1004.48,,Surface,2,Image 1,1,15,
622.065,,Surface,2,Image 1,1,16,
1149.3,,Surface,2,Image 1,1,17,
531.53,,Surface,2,Image 1,1,18,
489.411,,Surface,2,Image 1,1,19,
625.006,,Surface,2,Image 1,1,20,
555.772,,Surface,2,Image 1,1,21,
552.638,,Surface,2,Image 1,1,22,
608.535,,Surface,2,Image 1,1,23,
