
Intensity Mean Ch=7 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
85.582,,Surface,7,Image 1,1,0,
4.86681,,Surface,7,Image 1,1,1,
0,,Surface,7,Image 1,1,2,
12.0838,,Surface,7,Image 1,1,3,
100.177,,Surface,7,Image 1,1,4,
0,,Surface,7,Image 1,1,5,
0.592565,,Surface,7,Image 1,1,6,
41.3209,,Surface,7,Image 1,1,7,
1.07737,,Surface,7,Image 1,1,8,
0,,Surface,7,Image 1,1,9,
13.6613,,Surface,7,Image 1,1,10,
56.3031,,Surface,7,Image 1,1,11,
62.0666,,Surface,7,Image 1,1,12,
0.715176,,Surface,7,Image 1,1,13,
1.61446,,Surface,7,Image 1,1,14,
186.727,,Surface,7,Image 1,1,15,
77.272,,Surface,7,Image 1,1,16,
94.0531,,Surface,7,Image 1,1,17,
15.8143,,Surface,7,Image 1,1,18,
0,,Surface,7,Image 1,1,19,
41.0361,,Surface,7,Image 1,1,20,
0,,Surface,7,Image 1,1,21,
10.7078,,Surface,7,Image 1,1,22,
18.8674,,Surface,7,Image 1,1,23,
